"FID"	"IID"	"plant_height"	"trait_code"	"source_panel"	"analysis_environment"
"081215-A05"	"1"	"128.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"081215-A06"	"3"	"133.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"081215-A07"	"4"	"147.7"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"081215-A08"	"5"	"174.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090414-A09"	"6"	"171.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090414-A10"	"7"	"126.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090105-A02"	"8"	"160"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090105-A03"	"9"	"166.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090325-A05"	"10"	"82"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090818-A02"	"12"	"166.7"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090226-A10"	"13"	"135.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"081215-A10"	"14"	"190.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"081215-A12"	"16"	"176.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090414-B01"	"17"	"50"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"081216-D01"	"18"	"163.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090818-A03"	"19"	"137.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090414-B02"	"20"	"144.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"@52067200649407102410408632092354"	"21"	"136.7"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"081216-D03"	"22"	"159.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090414-B04"	"24"	"173.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"081216-D05"	"25"	"166.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"081216-D06"	"26"	"170.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"081216-D07"	"27"	"115.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090818-A04"	"30"	"172.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090325-A06"	"32"	"120.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
