"FID","IID","material_code","analysis_environment","trait_value"
"SEQ2025_001","SEQ2025_001","ME-A01","2025-Nanchang-standard_n","538.4"
"SEQ2025_002","SEQ2025_002","ME-A02","2025-Nanchang-standard_n","557.1"
"SEQ2025_003","SEQ2025_003","ME-A03","2025-Nanchang-standard_n","548.9"
"SEQ2025_004","SEQ2025_004","ME-A04","2025-Nanchang-standard_n","570.6"
"SEQ2025_005","SEQ2025_005","ME-A05","2025-Nanchang-standard_n","535.2"
"SEQ2025_006","SEQ2025_006","ME-A06","2025-Nanchang-standard_n","552.8"
"SEQ2025_007","SEQ2025_007","ME-A07","2025-Nanchang-standard_n","545.6"
"SEQ2025_008","SEQ2025_008","ME-A08","2025-Nanchang-standard_n","568.3"
"SEQ2025_009","SEQ2025_009","CK-01","2025-Nanchang-standard_n","521.5"
"SEQ2025_010","SEQ2025_010","CK-02","2025-Nanchang-standard_n","529.4"
