"FID","IID","material_code","note"
"SEQ2025_001","SEQ2025_001","ME-A01","Demo sample mapping"
"SEQ2025_002","SEQ2025_002","ME-A02","Demo sample mapping"
"SEQ2025_003","SEQ2025_003","ME-A03","Demo sample mapping"
"SEQ2025_004","SEQ2025_004","ME-A04","Demo sample mapping"
"SEQ2025_005","SEQ2025_005","ME-A05","Demo sample mapping"
"SEQ2025_006","SEQ2025_006","ME-A06","Demo sample mapping"
"SEQ2025_007","SEQ2025_007","ME-A07","Demo sample mapping"
"SEQ2025_008","SEQ2025_008","ME-A08","Demo sample mapping"
"SEQ2025_009","SEQ2025_009","CK-01","Demo sample mapping"
"SEQ2025_010","SEQ2025_010","CK-02","Demo sample mapping"
