observation_id,germplasm_id,trial_id,environment_id,trait_code,value,unit
OBS-001,HNNF-G001,TRIAL-2026-01,ENV-SY-2026,plant_height,102.4,cm
OBS-002,HNNF-G001,TRIAL-2026-01,ENV-SY-2026,yield_per_mu,612.8,kg/亩
OBS-003,HNNF-G002,TRIAL-2026-01,ENV-SY-2026,plant_height,98.7,cm
OBS-004,HNNF-G001,TRIAL-2026-01,ENV-SY-2026,lodging_score,1.5,级
OBS-005,HNNF-G001,TRIAL-2026-01,ENV-SY-2026,panicle_blast_score,2.0,级
OBS-006,HNNF-G001,TRIAL-2026-01,ENV-SY-2026,head_rice_rate,64.0,%
OBS-007,HNNF-G002,TRIAL-2026-01,ENV-SY-2026,yield_per_mu,598.6,kg/亩
OBS-008,HNNF-G002,TRIAL-2026-01,ENV-SY-2026,lodging_score,2.2,级
OBS-009,HNNF-G002,TRIAL-2026-01,ENV-SY-2026,panicle_blast_score,1.4,级
OBS-010,HNNF-G002,TRIAL-2026-01,ENV-SY-2026,head_rice_rate,67.0,%
OBS-011,HNNF-G003,TRIAL-2026-01,ENV-SY-2026,plant_height,105.2,cm
OBS-012,HNNF-G003,TRIAL-2026-01,ENV-SY-2026,yield_per_mu,625.4,kg/亩
OBS-013,HNNF-G003,TRIAL-2026-01,ENV-SY-2026,lodging_score,3.1,级
OBS-014,HNNF-G003,TRIAL-2026-01,ENV-SY-2026,panicle_blast_score,2.8,级
OBS-015,HNNF-G003,TRIAL-2026-01,ENV-SY-2026,head_rice_rate,60.0,%
OBS-016,HNNF-G004,TRIAL-2026-01,ENV-SY-2026,plant_height,94.5,cm
OBS-017,HNNF-G004,TRIAL-2026-01,ENV-SY-2026,yield_per_mu,578.9,kg/亩
OBS-018,HNNF-G004,TRIAL-2026-01,ENV-SY-2026,lodging_score,1.2,级
OBS-019,HNNF-G004,TRIAL-2026-01,ENV-SY-2026,panicle_blast_score,3.0,级
OBS-020,HNNF-G004,TRIAL-2026-01,ENV-SY-2026,head_rice_rate,69.0,%
